Height_m,Weight_kg,Job,bmi,bmi_category,Job_encode
1.63,59.59,chemist,22.428393992999364,Normal weight,5
1.79,60.53,firefighter,18.891420367653943,Normal weight,12
1.71,93.32,artist,31.914093225265894,Overweight,2
1.9,61.18,data analyst,16.947368421052634,Underweight,6
1.66,72.09,police officer,26.161271592393675,Overweight,24
1.67,57.44,musician,20.595933880741512,Normal weight,18
1.57,51.06,psychologist,20.714836301675525,Normal weight,25
1.99,65.6,physicist,16.5652382515593,Underweight,21
1.72,64.07,mechanic,21.656976744186046,Normal weight,17
1.91,98.1,chef,26.890710232723883,Overweight,4
1.89,79.77,mechanic,22.331401696481063,Normal weight,17
1.59,53.28,graphic designer,21.0751156995372,Normal weight,13
1.91,79.07,engineer,21.6742962089855,Normal weight,11
1.96,79.1,graphic designer,20.590379008746357,Normal weight,13
1.79,85.93,marketing manager,26.81876345931775,Overweight,16
1.53,71.84,plumber,30.68905121961639,Overweight,23
1.85,85.05,data analyst,24.85025566106647,Normal weight,6
1.53,56.52,biologist,24.144559784698195,Normal weight,3
1.6,93.56,teacher,36.54687499999999,Overweight,29
1.72,85.24,scientist,28.812871822606816,Overweight,27
1.61,92.42,artist,35.654488638555605,Overweight,2
1.77,60.17,electrician,19.205847617223657,Normal weight,10
1.59,79.77,salesperson,31.55334045330485,Overweight,26
1.82,84.7,engineer,25.570583262890953,Overweight,11
1.71,57.72,plumber,19.739406997024727,Normal weight,23
1.6,51.49,data analyst,20.113281249999996,Normal weight,6
1.97,54.92,lawyer,14.151356644077405,Underweight,15
1.91,59.56,marketing manager,16.326306844658866,Underweight,16
1.75,80.57,software developer,26.308571428571426,Overweight,28
1.84,91.47,pharmacist,27.01736767485822,Overweight,20
1.8,75.37,nurse,23.262345679012345,Normal weight,19
1.68,70.86,musician,25.106292517006807,Overweight,18
1.8,72.88,accountant,22.493827160493826,Normal weight,0
1.79,52.39,journalist,16.350925376860896,Underweight,14
1.6,86.2,firefighter,33.67187499999999,Overweight,12
1.57,85.67,data analyst,34.755973873179435,Overweight,6
1.65,88.56,lawyer,32.528925619834716,Overweight,15
1.82,95.54,economist,28.84313488709093,Overweight,9
1.58,91.35,physicist,36.59269347860919,Overweight,21
1.98,51.57,electrician,13.154269972451791,Underweight,10
1.9,86.15,economist,23.86426592797784,Normal weight,9
1.69,66.37,plumber,23.23798186338014,Normal weight,23
1.95,90.95,lawyer,23.91847468770546,Normal weight,15
1.86,73.32,journalist,21.193201526187995,Normal weight,14
1.98,53.47,lawyer,13.638914396490154,Underweight,15
1.56,93.04,architect,38.23142669296515,Overweight,1
1.58,88.54,chemist,35.46707258452171,Overweight,5
1.75,58.34,biologist,19.049795918367348,Normal weight,3
1.67,76.13,engineer,27.297500806769694,Overweight,11
1.68,65.16,salesperson,23.086734693877553,Normal weight,26
1.66,55.89,teacher,20.282334155900713,Normal weight,29
1.87,81.86,graphic designer,23.409305384769365,Normal weight,13
1.97,86.16,pilot,22.20103584220155,Normal weight,22
1.99,75.9,marketing manager,19.166182672154743,Normal weight,16
1.65,65.41,musician,24.0257116620753,Normal weight,18
1.72,91.2,architect,30.827474310438078,Overweight,1
1.91,57.69,pilot,15.813711246950467,Underweight,22
1.84,74.25,chemist,21.931120037807183,Normal weight,5
1.82,53.22,engineer,16.066900132834196,Underweight,11
1.83,50.35,marketing manager,15.034787542178027,Underweight,16
1.55,95.09,teacher,39.579604578563995,Overweight,29
1.52,74.26,mechanic,32.14162049861496,Overweight,17
1.67,92.63,graphic designer,33.21381189716376,Overweight,13
1.65,51.97,nurse,19.089072543618,Normal weight,19
1.75,98.16,plumber,32.052244897959184,Overweight,23
1.59,92.97,artist,36.77465290138839,Overweight,2
1.62,75.55,software developer,28.787532388355427,Overweight,28
1.8,97.36,marketing manager,30.04938271604938,Overweight,16
1.95,54.83,data analyst,14.419460880999344,Underweight,6
1.6,77.45,marketing manager,30.253906249999996,Overweight,16
1.57,69.34,physicist,28.13095865958051,Overweight,21
1.71,66.99,firefighter,22.909613214322356,Normal weight,12
1.53,79.23,psychologist,33.845956683326925,Overweight,25
1.69,64.32,dentist,22.520219880256295,Normal weight,7
1.91,63.4,pilot,17.378909569364875,Underweight,22
1.84,71.25,scientist,21.045014177693762,Normal weight,27
1.71,75.25,economist,25.734414007728876,Overweight,9
1.68,67.14,chemist,23.788265306122454,Normal weight,5
1.53,99.4,nurse,42.462300824469224,Overweight,19
1.99,62.21,economist,15.709199262644882,Underweight,9
1.72,63.55,physicist,21.481206057328286,Normal weight,21
1.86,69.59,journalist,20.115042201410567,Normal weight,14
1.87,64.53,dentist,18.453487374531726,Underweight,7
1.66,88.7,accountant,32.18899695166207,Overweight,0
1.6,82.23,lawyer,32.12109374999999,Overweight,15
1.85,68.86,biologist,20.11979547114682,Normal weight,3
1.72,65.52,doctor,22.147106544077882,Normal weight,8
2.0,79.06,nurse,19.765,Normal weight,19
1.96,80.1,salesperson,20.850687213660976,Normal weight,26
1.58,58.76,chef,23.53789456817817,Normal weight,4
1.69,73.6,accountant,25.769405833129092,Overweight,0
1.74,89.95,police officer,29.710001321178492,Overweight,24
1.78,80.02,graphic designer,25.255649539199595,Overweight,13
1.79,55.82,lawyer,17.42142879435723,Underweight,15
1.74,93.75,graphic designer,30.965120887831944,Overweight,13
1.58,82.35,salesperson,32.98750200288415,Overweight,26
1.69,52.21,psychologist,18.28017226287595,Underweight,25
2.0,62.9,musician,15.725,Underweight,18
1.94,62.23,data analyst,16.534700818365394,Underweight,6
1.55,95.02,pharmacist,39.55046826222684,Overweight,20
1.88,87.05,mechanic,24.629357175192396,Normal weight,17
1.55,83.38,teacher,34.70551508844952,Overweight,29
1.74,94.28,electrician,31.140177037917823,Overweight,10
1.7,85.86,marketing manager,29.709342560553637,Overweight,16
1.6,72.55,physicist,28.339843749999993,Overweight,21
1.67,74.08,biologist,26.562443974326797,Overweight,3
1.58,94.25,accountant,37.75436628745393,Overweight,0
1.71,94.74,chemist,32.39971273212271,Overweight,5
1.94,78.3,doctor,20.80454883622064,Normal weight,8
1.65,98.68,journalist,36.24609733700643,Overweight,14
1.71,78.32,plumber,26.78430970213057,Overweight,23
1.5,66.52,accountant,29.564444444444444,Overweight,0
1.52,80.91,police officer,35.01990997229917,Overweight,24
1.84,71.95,musician,21.251772211720226,Normal weight,18
1.64,82.85,plumber,30.803837001784654,Overweight,23
1.82,91.82,nurse,27.72008211568651,Overweight,19
1.54,79.9,scientist,33.69033563838759,Overweight,27
1.65,63.41,pilot,23.291092745638203,Normal weight,22
1.76,83.01,lawyer,26.798166322314053,Overweight,15
1.82,98.67,chemist,29.788069073783358,Overweight,5
1.83,92.59,teacher,27.64788437994565,Overweight,29
1.79,94.05,lawyer,29.353016447676413,Overweight,15
1.58,73.04,chef,29.25813170966191,Overweight,4
1.65,79.8,pilot,29.311294765840223,Overweight,22
1.71,50.16,electrician,17.153996101364523,Underweight,10
1.93,98.3,journalist,26.389970200542297,Overweight,14
1.97,52.38,musician,13.496869282898297,Underweight,18
1.88,86.87,scientist,24.57842915346311,Normal weight,27
1.65,59.65,accountant,21.910009182736456,Normal weight,0
1.6,95.04,journalist,37.12499999999999,Overweight,14
1.88,73.29,police officer,20.736192847442286,Normal weight,24
1.96,76.62,artist,19.944814660558105,Normal weight,2
1.74,81.27,firefighter,26.843043995243754,Overweight,12
1.55,58.81,teacher,24.4786680541103,Normal weight,29
1.74,66.95,firefighter,22.113224996697053,Normal weight,12
1.8,94.62,mechanic,29.203703703703702,Overweight,17
1.69,84.36,graphic designer,29.536780925037643,Overweight,13
1.73,58.69,police officer,19.60974305857195,Normal weight,24
1.67,89.13,police officer,31.958836817383197,Overweight,24
1.9,67.77,doctor,18.77285318559557,Normal weight,8
1.61,57.02,firefighter,21.997608116970795,Normal weight,12
1.64,82.09,police officer,30.521267102914937,Overweight,24
1.66,99.23,chef,36.0103062853825,Overweight,4
1.68,80.45,pilot,28.50410997732427,Overweight,22
1.86,97.76,nurse,28.25760203491733,Overweight,19
1.67,99.07,artist,35.52296604395998,Overweight,2
1.78,70.93,architect,22.38669359929302,Normal weight,1
1.73,68.71,pilot,22.957666477329678,Normal weight,22
1.64,96.58,accountant,35.908685306365264,Overweight,0
1.88,96.37,police officer,27.266296966953377,Overweight,24
1.65,99.9,mechanic,36.694214876033065,Overweight,17
1.89,92.76,artist,25.967918031410097,Overweight,2
1.55,92.37,salesperson,38.4474505723205,Overweight,26
1.67,65.87,pharmacist,23.618631001470117,Normal weight,20
1.85,61.75,scientist,18.04236669101534,Underweight,27
1.99,57.98,doctor,14.64104441807025,Underweight,8
1.89,58.54,doctor,16.38811903362168,Underweight,8
1.56,70.78,psychologist,29.0844838921762,Overweight,25
1.76,50.68,mechanic,16.361053719008265,Underweight,17
1.54,62.29,chef,26.26496879743633,Overweight,4
1.68,74.4,electrician,26.36054421768708,Overweight,10
1.59,77.78,journalist,30.766188046358923,Overweight,14
1.77,92.23,architect,29.43917775862619,Overweight,1
1.55,75.34,software developer,31.359001040582722,Overweight,28
1.5,67.02,journalist,29.786666666666665,Overweight,14
1.83,83.1,physicist,24.814118068619543,Normal weight,21
1.54,99.97,doctor,42.152976893236634,Overweight,8
1.51,63.87,software developer,28.01192930134643,Overweight,28
1.77,87.73,chef,28.002808899103066,Overweight,4
1.81,68.72,dentist,20.976160678855955,Normal weight,7
1.97,60.64,artist,15.6252415676776,Underweight,2
1.92,53.11,police officer,14.40700954861111,Underweight,24
1.59,60.4,plumber,23.891459989715592,Normal weight,23
1.76,77.39,architect,24.98385847107438,Normal weight,1
1.73,52.16,electrician,17.427912726786726,Underweight,10
1.94,92.38,nurse,24.54564778403656,Normal weight,19
1.64,97.16,biologist,36.12433075550268,Overweight,3
1.51,96.42,nurse,42.28761896408052,Overweight,19
1.51,52.18,pharmacist,22.8849611859129,Normal weight,20
1.84,55.63,lawyer,16.431356332703213,Underweight,15
1.69,67.3,salesperson,23.56360071426071,Normal weight,26
1.6,51.01,electrician,19.925781249999996,Normal weight,10
1.82,96.8,chef,29.223523729018233,Overweight,4
1.91,67.41,biologist,18.478111893862557,Underweight,3
1.55,66.1,accountant,27.513007284079077,Overweight,0
1.6,57.74,lawyer,22.554687499999996,Normal weight,15
1.99,97.8,plumber,24.696346051867376,Normal weight,23
1.72,91.57,marketing manager,30.952541914548405,Overweight,16
1.96,76.01,software developer,19.786026655560185,Normal weight,28
1.63,92.55,engineer,34.83382889834017,Overweight,11
1.83,73.5,electrician,21.947505150945084,Normal weight,10
1.99,70.65,artist,17.84045857427843,Underweight,2
1.86,59.93,biologist,17.322811885767138,Underweight,3
1.87,62.97,chemist,18.007377963338953,Underweight,5
1.58,99.04,plumber,39.67312930620093,Overweight,23
1.94,79.77,data analyst,21.195132320119036,Normal weight,6
1.77,78.52,artist,25.063040633279066,Overweight,2
1.64,86.01,data analyst,31.978732897085077,Overweight,6
1.63,51.77,teacher,19.485114230870565,Normal weight,29
1.73,65.92,biologist,22.025460255939056,Normal weight,3
1.98,85.08,architect,21.70186715641261,Normal weight,1
1.97,50.47,accountant,13.004715401066763,Underweight,0
1.53,60.62,nurse,25.896022897176298,Overweight,19
1.6,56.57,chef,22.097656249999996,Normal weight,4
1.7,54.95,biologist,19.01384083044983,Normal weight,3
1.82,72.6,architect,21.917642796763673,Normal weight,1
1.98,82.38,accountant,21.01316192225283,Normal weight,0
1.54,66.03,physicist,27.841963231573622,Overweight,21
1.83,83.0,scientist,24.78425751739377,Normal weight,27
1.75,52.1,architect,17.012244897959185,Underweight,1
1.97,96.04,teacher,24.74683707387462,Normal weight,29
1.57,77.29,journalist,31.35624163252059,Overweight,14
1.71,88.67,pharmacist,30.323860333093947,Overweight,20
1.87,70.49,chef,20.15785409934513,Normal weight,4
1.85,61.32,marketing manager,17.916727538349157,Underweight,16
1.75,65.28,doctor,21.31591836734694,Normal weight,8
1.7,97.99,teacher,33.90657439446367,Overweight,29
1.59,91.69,software developer,36.268343815513624,Overweight,28
1.71,77.0,mechanic,26.332888752094664,Overweight,17
1.79,94.89,chemist,29.615180549920414,Overweight,5
1.75,58.53,data analyst,19.111836734693878,Normal weight,6
1.91,94.76,economist,25.97516515446397,Overweight,9
1.59,99.29,software developer,39.27455401289506,Overweight,28
1.89,63.8,marketing manager,17.86064219926654,Underweight,16
1.76,62.16,psychologist,20.06714876033058,Normal weight,25
1.96,93.27,mechanic,24.278946272386506,Normal weight,17
1.94,93.85,artist,24.936231267934957,Normal weight,2
1.83,83.59,scientist,24.960434769625845,Normal weight,27
1.58,95.64,journalist,38.31116808203813,Overweight,14
1.5,60.93,lawyer,27.08,Overweight,15
1.61,93.22,nurse,35.96311870684001,Overweight,19
1.63,82.07,engineer,30.889382362904136,Overweight,11
1.61,99.11,police officer,38.235407584583925,Overweight,24
1.72,67.79,software developer,22.91441319632234,Normal weight,28
1.55,94.94,data analyst,39.51716961498438,Overweight,6
1.86,81.27,doctor,23.49115504682622,Normal weight,8
1.59,68.11,biologist,26.94118112416439,Overweight,3
1.94,88.78,data analyst,23.5891168030609,Normal weight,6
1.82,77.0,plumber,23.24598478444632,Normal weight,23
1.51,97.32,electrician,42.6823384939257,Overweight,10
1.51,84.74,electrician,37.16503662120082,Overweight,10
1.78,96.48,pharmacist,30.450700669107437,Overweight,20
1.78,59.03,electrician,18.630854690064385,Normal weight,10
1.7,68.63,chemist,23.74740484429066,Normal weight,5
1.56,59.63,pilot,24.502794214332674,Normal weight,22
1.92,53.88,pharmacist,14.615885416666668,Underweight,20
1.86,51.66,physicist,14.932362122788758,Underweight,21
1.76,98.31,physicist,31.73747417355372,Overweight,21
1.98,87.68,journalist,22.365064789307215,Normal weight,14
1.58,97.72,electrician,39.14436788976125,Overweight,10
1.87,66.51,physicist,19.019703165661014,Normal weight,21
1.98,75.86,dentist,19.35006631976329,Normal weight,7
1.84,71.98,marketing manager,21.26063327032136,Normal weight,16
1.82,74.92,graphic designer,22.61804129935998,Normal weight,13
1.57,98.22,pilot,39.84745831473893,Overweight,22
1.65,68.69,electrician,25.23048668503214,Overweight,10
1.92,54.46,dentist,14.773220486111112,Underweight,7
1.84,73.89,psychologist,21.824787334593573,Normal weight,25
1.59,64.84,police officer,25.647719631343694,Overweight,24
1.53,53.82,software developer,22.991157247212612,Normal weight,28
1.86,95.45,software developer,27.589894785524336,Overweight,28
1.77,91.42,electrician,29.180631363912028,Overweight,10
1.99,81.53,pharmacist,20.587863942829728,Normal weight,20
1.69,69.56,firefighter,24.35488953468016,Normal weight,12
1.81,78.11,pharmacist,23.84237355392082,Normal weight,20
1.56,77.84,police officer,31.985535831689678,Overweight,24
1.73,96.47,graphic designer,32.23295131811955,Overweight,13
1.86,56.58,marketing manager,16.354491848768642,Underweight,16
1.73,98.49,dentist,32.907881987370104,Overweight,7
1.68,51.08,teacher,18.09807256235828,Underweight,29
1.51,57.66,scientist,25.288364545414673,Overweight,27
1.62,54.49,chef,20.76284103033074,Normal weight,4
1.87,62.03,architect,17.73856844633818,Underweight,1
1.6,58.15,plumber,22.714843749999996,Normal weight,23
1.65,54.49,chemist,20.014692378328746,Normal weight,5
1.85,84.88,dentist,24.80058436815193,Normal weight,7
1.86,95.41,electrician,27.578332755231813,Overweight,10
1.92,80.36,graphic designer,21.79904513888889,Normal weight,13
1.72,76.57,electrician,25.8822336398053,Overweight,10
1.6,95.82,artist,37.42968749999999,Overweight,2
1.93,51.38,pilot,13.79365889017155,Underweight,22
1.61,90.6,electrician,34.95235523320859,Overweight,10
1.76,69.41,marketing manager,22.407670454545453,Normal weight,16
1.86,51.84,pharmacist,14.984391259105099,Underweight,20
1.92,97.12,accountant,26.345486111111114,Overweight,0
1.86,95.02,journalist,27.46560295987975,Overweight,14
1.7,73.78,accountant,25.529411764705884,Overweight,0
1.88,76.67,teacher,21.692507922136716,Normal weight,29
1.82,79.28,biologist,23.934307450790968,Normal weight,3
1.64,94.13,police officer,34.99776918500893,Overweight,24
1.65,56.72,artist,20.83379247015611,Normal weight,2
1.87,53.46,economist,15.287826360490719,Underweight,9
1.97,53.08,graphic designer,13.677239815506711,Underweight,13
1.88,74.47,chef,21.07005432322318,Normal weight,4
1.73,89.11,musician,29.773797988572955,Overweight,18
1.55,83.36,pilot,34.69719042663891,Overweight,22
1.87,84.91,dentist,24.281506477165486,Normal weight,7
1.82,99.52,electrician,30.04468059413114,Overweight,10
1.78,94.99,police officer,29.9804317636662,Overweight,24
1.74,96.63,chef,31.91636940150614,Overweight,4
1.74,71.96,musician,23.76800105694279,Normal weight,18
1.78,67.34,plumber,21.253629592223206,Normal weight,23
1.96,92.74,chef,24.14098292378176,Normal weight,4
1.63,81.96,artist,30.847980729421504,Overweight,2
1.93,81.66,salesperson,21.92273618083707,Normal weight,26
1.97,72.55,accountant,18.69411734391507,Normal weight,0
1.94,59.43,police officer,15.790732277606548,Underweight,24
1.76,54.87,teacher,17.713713842975206,Underweight,29
1.73,90.72,chef,30.31173777941127,Overweight,4
1.51,61.64,pharmacist,27.033902021841147,Overweight,20
1.85,78.0,artist,22.79035792549306,Normal weight,2
1.76,76.6,doctor,24.728822314049587,Normal weight,8
1.54,78.41,nurse,33.06206780232754,Overweight,19
1.98,72.83,physicist,18.577186001428426,Normal weight,21
1.55,54.08,architect,22.5098855359001,Normal weight,1
1.5,54.05,scientist,24.022222222222222,Normal weight,27
1.53,92.23,plumber,39.39937630825751,Overweight,23
1.65,90.06,lawyer,33.07988980716254,Overweight,15
1.83,74.02,software developer,22.102780017319116,Normal weight,28
1.76,97.57,marketing manager,31.498579545454543,Overweight,16
1.94,80.94,software developer,21.506004888936125,Normal weight,28
1.68,61.59,teacher,21.821853741496604,Normal weight,29
1.5,78.47,mechanic,34.87555555555556,Overweight,17
1.76,79.16,police officer,25.555268595041323,Overweight,24
1.72,67.07,psychologist,22.671038399134666,Normal weight,25
1.96,89.49,teacher,23.294981257809248,Normal weight,29
1.58,58.96,chemist,23.618009934305395,Normal weight,5
1.86,82.75,musician,23.918950167649434,Normal weight,18
1.52,90.59,marketing manager,39.20966066481994,Overweight,16
1.51,67.9,pilot,29.779395640542084,Overweight,22
1.73,80.85,plumber,27.013932974706805,Overweight,23
1.84,68.42,economist,20.209120982986768,Normal weight,9
1.57,61.18,chef,24.820479532638238,Normal weight,4
1.68,77.25,dentist,27.370323129251705,Overweight,7
1.81,83.72,nurse,25.5547754952535,Overweight,19
1.98,81.69,pharmacist,20.83715947352311,Normal weight,20
1.95,82.71,scientist,21.75147928994083,Normal weight,27
1.66,66.62,electrician,24.176222964145744,Normal weight,10
1.95,94.18,physicist,24.767915844838924,Normal weight,21
1.52,69.01,dentist,29.86928670360111,Overweight,7
1.75,71.31,software developer,23.284897959183674,Normal weight,28
1.8,74.92,journalist,23.123456790123456,Normal weight,14
1.88,54.44,economist,15.402897238569489,Underweight,9
1.6,76.44,doctor,29.859374999999993,Overweight,8
1.92,60.7,doctor,16.465928819444446,Underweight,8
1.7,66.96,journalist,23.169550173010382,Normal weight,14
1.88,85.15,biologist,24.091783612494346,Normal weight,3
1.79,89.37,pharmacist,27.892387878031276,Overweight,20
1.8,76.81,firefighter,23.706790123456788,Normal weight,12
1.99,86.41,police officer,21.820156056665233,Normal weight,24
1.84,51.16,musician,15.111058601134214,Underweight,18
1.83,94.68,software developer,28.27196990056436,Overweight,28
1.93,79.39,dentist,21.313323847620072,Normal weight,7
1.89,74.45,musician,20.842081688642537,Normal weight,18
1.55,74.75,doctor,31.11342351716961,Overweight,8
1.62,87.84,dentist,33.470507544581615,Overweight,7
1.55,77.92,accountant,32.43288241415192,Overweight,0
1.8,63.9,accountant,19.72222222222222,Normal weight,0
1.6,90.46,economist,35.33593749999999,Overweight,9
1.62,94.05,chef,35.836762688614535,Overweight,4
1.87,71.48,plumber,20.440961994909774,Normal weight,23
1.95,72.74,chemist,19.129520052596977,Normal weight,5
1.79,73.98,graphic designer,23.089167004775135,Normal weight,13
1.95,90.44,salesperson,23.784352399737017,Normal weight,26
1.56,78.18,data analyst,32.125246548323474,Overweight,6
1.52,62.66,mechanic,27.120844875346258,Overweight,17
1.61,57.44,chemist,22.159638902820102,Normal weight,5
1.74,86.01,musician,28.408640507332542,Overweight,18
1.71,85.55,chef,29.256865360281797,Overweight,4
1.71,83.2,marketing manager,28.4531992749906,Overweight,16
1.69,67.83,doctor,23.74916844648297,Normal weight,8
1.99,89.74,chemist,22.661043913032497,Normal weight,5
1.97,60.06,journalist,15.475791697802057,Underweight,14
1.51,80.28,musician,35.20898206219025,Overweight,18
1.82,58.45,economist,17.6458157227388,Underweight,9
1.68,97.94,pilot,34.700963718820866,Overweight,22
1.52,99.3,police officer,42.97957063711911,Overweight,24
1.8,97.15,pilot,29.984567901234566,Overweight,22
1.91,91.09,teacher,24.96916202954963,Normal weight,29
1.99,78.48,data analyst,19.817681371682532,Normal weight,6
1.91,55.68,musician,15.262739508237164,Underweight,18
1.79,64.27,chef,20.05867482288318,Normal weight,4
1.6,86.42,teacher,33.75781249999999,Overweight,29
1.78,79.89,plumber,25.214619366241635,Overweight,23
1.7,60.12,lawyer,20.802768166089965,Normal weight,15
1.52,83.14,nurse,35.9851108033241,Overweight,19
1.87,71.83,data analyst,20.54105064485687,Normal weight,6
1.52,50.48,architect,21.849030470914126,Normal weight,1
1.93,66.48,economist,17.84745899218771,Underweight,9
1.88,62.52,software developer,17.688999547306477,Underweight,28
1.7,75.3,firefighter,26.05536332179931,Overweight,12
1.83,73.51,chef,21.950491206067664,Normal weight,4
1.51,86.77,journalist,38.0553484496294,Overweight,14
1.92,55.36,software developer,15.01736111111111,Underweight,28
1.73,90.71,firefighter,30.308396538474387,Overweight,12
1.82,88.58,salesperson,26.741939379302014,Overweight,26
1.6,95.0,scientist,37.10937499999999,Overweight,27
1.89,98.2,nurse,27.49083172363596,Overweight,19
1.9,64.04,physicist,17.739612188365655,Underweight,21
1.78,68.49,pilot,21.616588814543615,Normal weight,22
1.94,72.68,chef,19.311297693697526,Normal weight,4
1.97,96.43,mechanic,24.84732922775645,Normal weight,17
1.76,67.42,engineer,21.765237603305785,Normal weight,11
1.63,77.84,accountant,29.297301366253908,Overweight,0
1.84,97.39,lawyer,28.76594990548204,Overweight,15
1.64,86.19,economist,32.04565734681738,Overweight,9
1.54,58.93,chemist,24.84820374430764,Normal weight,5
1.85,54.42,psychologist,15.900657414170926,Underweight,25
1.53,62.04,graphic designer,26.502627194668715,Overweight,13
1.78,59.24,software developer,18.697134200227243,Normal weight,28
1.69,80.19,mechanic,28.07674801302476,Overweight,17
1.9,63.61,data analyst,17.62049861495845,Underweight,6
1.54,82.5,teacher,34.786641929499076,Overweight,29
1.77,62.7,software developer,20.01340610935555,Normal weight,28
1.77,83.0,pharmacist,26.493025631204315,Overweight,20
1.8,54.22,artist,16.734567901234566,Underweight,2
1.5,62.05,data analyst,27.577777777777776,Overweight,6
1.79,83.24,salesperson,25.97921413189351,Overweight,26
1.77,85.75,plumber,27.37080660091289,Overweight,23
1.9,72.09,data analyst,19.969529085872576,Normal weight,6
1.84,77.34,graphic designer,22.843809073724007,Normal weight,13
1.91,70.29,police officer,19.26756393739207,Normal weight,24
1.89,65.92,doctor,18.454130623442794,Underweight,8
1.8,67.97,marketing manager,20.978395061728392,Normal weight,16
1.53,58.3,nurse,24.90495108718869,Normal weight,19
1.87,78.9,biologist,22.56284137378821,Normal weight,3
1.54,75.05,graphic designer,31.64530274919885,Overweight,13
1.91,67.96,firefighter,18.62887530495326,Normal weight,12
1.81,62.82,lawyer,19.175238851072923,Normal weight,15
1.89,75.54,psychologist,21.147224321827498,Normal weight,25
1.94,88.86,musician,23.610373047082582,Normal weight,18
1.68,79.27,musician,28.086026077097507,Overweight,18
1.5,61.38,nurse,27.28,Overweight,19
1.64,97.1,firefighter,36.10202260559191,Overweight,12
1.96,74.98,data analyst,19.517909204498128,Normal weight,6
1.55,95.65,salesperson,39.812695109261185,Overweight,26
1.78,64.39,mechanic,20.322560282792576,Normal weight,17
1.68,95.56,engineer,33.8577097505669,Overweight,11
1.58,86.37,marketing manager,34.59782086204134,Overweight,16
1.95,75.8,software developer,19.934253780407627,Normal weight,28
1.99,91.22,graphic designer,23.034771849195725,Normal weight,13
1.69,80.75,nurse,28.272819579146393,Overweight,19
1.83,51.09,physicist,15.255755621248767,Underweight,21
1.8,52.9,chef,16.327160493827158,Underweight,4
1.76,96.53,plumber,31.162835743801654,Overweight,23
1.51,50.59,salesperson,22.187623349853077,Normal weight,26
1.54,52.64,electrician,22.195985832349468,Normal weight,10
1.6,88.02,doctor,34.38281249999999,Overweight,8
1.84,69.93,pilot,20.65512759924386,Normal weight,22
1.66,60.88,accountant,22.093192045289594,Normal weight,0
1.68,79.37,electrician,28.121456916099778,Overweight,10
1.82,95.0,artist,28.680111097693512,Overweight,2
1.96,84.0,software developer,21.86588921282799,Normal weight,28
1.66,99.63,doctor,36.1554652344317,Overweight,8
1.51,64.51,doctor,28.2926187447919,Overweight,8
1.74,90.66,accountant,29.944510503369003,Overweight,0
1.86,61.87,accountant,17.883570354954326,Underweight,0
1.57,57.01,journalist,23.128727331737593,Normal weight,14
1.58,63.93,biologist,25.60887678256689,Overweight,3
1.51,58.91,chemist,25.836586114644092,Overweight,5
1.94,76.3,journalist,20.273142735678604,Normal weight,14
1.73,97.17,musician,32.46683818370143,Overweight,18
1.99,94.63,artist,23.895861215625867,Normal weight,2
1.71,50.3,pilot,17.201874080913786,Underweight,22
1.6,88.09,plumber,34.41015624999999,Overweight,23
1.52,55.09,scientist,23.844355955678672,Normal weight,27
1.51,77.84,police officer,34.13885355905443,Overweight,24
1.83,56.31,lawyer,16.814476395234255,Underweight,15
