Height_m,Weight_kg,Job
1.65,65.41,musician
1.72,91.2,architect
1.91,57.69,pilot
1.84,74.25,chemist
1.82,53.22,engineer
1.83,50.35,marketing manager
1.55,95.09,teacher
1.52,74.26,mechanic
1.67,92.63,graphic designer
1.65,51.97,nurse
1.75,98.16,plumber
1.59,92.97,artist
1.62,75.55,software developer
1.8,97.36,marketing manager
1.95,54.83,data analyst
1.6,77.45,marketing manager
1.57,69.34,physicist
1.71,66.99,firefighter
1.53,79.23,psychologist
1.69,64.32,dentist
1.91,63.4,pilot
1.84,71.25,scientist
1.71,75.25,economist
1.68,67.14,chemist
1.53,99.4,nurse
1.99,62.21,economist
1.72,63.55,physicist
1.86,69.59,journalist
1.87,64.53,dentist
1.66,88.7,accountant
1.6,82.23,lawyer
1.85,68.86,biologist
1.72,65.52,doctor
2.0,79.06,nurse
1.96,80.1,salesperson
1.58,58.76,chef
1.69,73.6,accountant
1.74,89.95,police officer
1.78,80.02,graphic designer
1.79,55.82,lawyer
1.74,93.75,graphic designer
1.58,82.35,salesperson
1.69,52.21,psychologist
2.0,62.9,musician
1.94,62.23,data analyst
1.55,95.02,pharmacist
1.88,87.05,mechanic
1.55,83.38,teacher
1.74,94.28,electrician
1.7,85.86,marketing manager
1.6,72.55,physicist
1.67,74.08,biologist
1.58,94.25,accountant
1.71,94.74,chemist
1.94,78.3,doctor
1.65,98.68,journalist
1.71,78.32,plumber
1.5,66.52,accountant
1.52,80.91,police officer
1.84,71.95,musician
1.64,82.85,plumber
1.82,91.82,nurse
1.54,79.9,scientist
1.65,63.41,pilot
1.76,83.01,lawyer
1.82,98.67,chemist
1.83,92.59,teacher
1.79,94.05,lawyer
1.58,73.04,chef
1.65,79.8,pilot
1.71,50.16,electrician
1.93,98.3,journalist
1.97,52.38,musician
1.88,86.87,scientist
1.65,59.65,accountant
1.6,95.04,journalist
1.88,73.29,police officer
1.96,76.62,artist
1.74,81.27,firefighter
1.55,58.81,teacher
1.74,66.95,firefighter
1.8,94.62,mechanic
1.69,84.36,graphic designer
1.73,58.69,police officer
1.67,89.13,police officer
1.9,67.77,doctor
1.61,57.02,firefighter
1.64,82.09,police officer
1.66,99.23,chef
1.68,80.45,pilot
1.86,97.76,nurse
1.67,99.07,artist
1.78,70.93,architect
1.73,68.71,pilot
1.64,96.58,accountant
1.88,96.37,police officer
1.65,99.9,mechanic
1.89,92.76,artist
1.55,92.37,salesperson
1.67,65.87,pharmacist
1.85,61.75,scientist
1.99,57.98,doctor
1.89,58.54,doctor
1.56,70.78,psychologist
1.76,50.68,mechanic
1.54,62.29,chef
1.68,74.4,electrician
1.59,77.78,journalist
1.77,92.23,architect
1.55,75.34,software developer
1.5,67.02,journalist
1.83,83.1,physicist
1.54,99.97,doctor
1.51,63.87,software developer
1.77,87.73,chef
1.81,68.72,dentist
1.97,60.64,artist
1.92,53.11,police officer
1.59,60.4,plumber
1.76,77.39,architect
1.73,52.16,electrician
1.94,92.38,nurse
1.64,97.16,biologist
1.51,96.42,nurse
1.51,52.18,pharmacist
1.84,55.63,lawyer
1.69,67.3,salesperson
1.6,51.01,electrician
1.82,96.8,chef
1.91,67.41,biologist
1.55,66.1,accountant
1.6,57.74,lawyer
1.99,97.8,plumber
1.72,91.57,marketing manager
1.96,76.01,software developer
1.63,92.55,engineer
1.83,73.5,electrician
1.99,70.65,artist
1.86,59.93,biologist
1.87,62.97,chemist
1.58,99.04,plumber
1.94,79.77,data analyst
1.77,78.52,artist
1.64,86.01,data analyst
1.63,51.77,teacher
1.73,65.92,biologist
1.98,85.08,architect
1.97,50.47,accountant
1.53,60.62,nurse
1.6,56.57,chef
1.7,54.95,biologist
1.82,72.6,architect
1.98,82.38,accountant
1.54,66.03,physicist
1.83,83.0,scientist
1.75,52.1,architect
1.97,96.04,teacher
1.57,77.29,journalist
1.71,88.67,pharmacist
1.87,70.49,chef
1.85,61.32,marketing manager
1.75,65.28,doctor
1.7,97.99,teacher
1.59,91.69,software developer
1.71,77.0,mechanic
1.79,94.89,chemist
1.75,58.53,data analyst
1.91,94.76,economist
1.59,99.29,software developer
1.89,63.8,marketing manager
1.76,62.16,psychologist
1.96,93.27,mechanic
1.94,93.85,artist
1.83,83.59,scientist
1.58,95.64,journalist
1.5,60.93,lawyer
1.61,93.22,nurse
1.63,82.07,engineer
1.61,99.11,police officer
1.72,67.79,software developer
1.55,94.94,data analyst
1.86,81.27,doctor
1.59,68.11,biologist
1.94,88.78,data analyst
1.82,77.0,plumber
1.51,97.32,electrician
1.51,84.74,electrician
1.78,96.48,pharmacist
1.78,59.03,electrician
1.7,68.63,chemist
1.56,59.63,pilot
1.92,53.88,pharmacist
1.86,51.66,physicist
1.76,98.31,physicist
1.98,87.68,journalist
1.58,97.72,electrician
1.87,66.51,physicist
1.98,75.86,dentist
1.84,71.98,marketing manager
1.82,74.92,graphic designer
1.57,98.22,pilot
1.65,68.69,electrician
1.92,54.46,dentist
1.84,73.89,psychologist
1.59,64.84,police officer
1.53,53.82,software developer
1.86,95.45,software developer
1.77,91.42,electrician
1.99,81.53,pharmacist
1.69,69.56,firefighter
1.81,78.11,pharmacist
1.56,77.84,police officer
1.73,96.47,graphic designer
1.86,56.58,marketing manager
1.73,98.49,dentist
1.68,51.08,teacher
1.51,57.66,scientist
1.62,54.49,chef
1.87,62.03,architect
1.6,58.15,plumber
1.65,54.49,chemist
1.85,84.88,dentist
1.86,95.41,electrician
1.92,80.36,graphic designer
1.72,76.57,electrician
1.6,95.82,artist
1.93,51.38,pilot
1.61,90.6,electrician
1.76,69.41,marketing manager
1.86,51.84,pharmacist
1.92,97.12,accountant
1.86,95.02,journalist
1.7,73.78,accountant
1.88,76.67,teacher
1.82,79.28,biologist
1.64,94.13,police officer
1.65,56.72,artist
1.87,53.46,economist
1.97,53.08,graphic designer
1.88,74.47,chef
1.73,89.11,musician
1.55,83.36,pilot
1.87,84.91,dentist
1.82,99.52,electrician
1.78,94.99,police officer
1.74,96.63,chef
1.74,71.96,musician
1.78,67.34,plumber
1.96,92.74,chef
1.63,81.96,artist
1.93,81.66,salesperson
1.97,72.55,accountant
1.94,59.43,police officer
1.76,54.87,teacher
1.73,90.72,chef
1.51,61.64,pharmacist
1.85,78.0,artist
1.76,76.6,doctor
1.54,78.41,nurse
1.98,72.83,physicist
1.55,54.08,architect
1.5,54.05,scientist
1.53,92.23,plumber
1.65,90.06,lawyer
1.83,74.02,software developer
1.76,97.57,marketing manager
1.94,80.94,software developer
1.68,61.59,teacher
1.5,78.47,mechanic
1.76,79.16,police officer
1.72,67.07,psychologist
1.96,89.49,teacher
1.58,58.96,chemist
1.86,82.75,musician
1.52,90.59,marketing manager
1.51,67.9,pilot
1.73,80.85,plumber
1.84,68.42,economist
1.57,61.18,chef
1.68,77.25,dentist
1.81,83.72,nurse
1.98,81.69,pharmacist
1.95,82.71,scientist
1.66,66.62,electrician
1.95,94.18,physicist
1.52,69.01,dentist
1.75,71.31,software developer
1.8,74.92,journalist
1.88,54.44,economist
1.6,76.44,doctor
1.92,60.7,doctor
1.7,66.96,journalist
1.88,85.15,biologist
1.79,89.37,pharmacist
1.8,76.81,firefighter
1.99,86.41,police officer
1.84,51.16,musician
1.83,94.68,software developer
1.93,79.39,dentist
1.89,74.45,musician
1.55,74.75,doctor
1.62,87.84,dentist
1.55,77.92,accountant
1.8,63.9,accountant
1.6,90.46,economist
1.62,94.05,chef
1.87,71.48,plumber
1.95,72.74,chemist
1.79,73.98,graphic designer
1.95,90.44,salesperson
1.56,78.18,data analyst
1.52,62.66,mechanic
1.61,57.44,chemist
1.74,86.01,musician
1.71,85.55,chef
1.71,83.2,marketing manager
1.69,67.83,doctor
1.99,89.74,chemist
1.97,60.06,journalist
1.51,80.28,musician
1.82,58.45,economist
1.68,97.94,pilot
1.52,99.3,police officer
1.8,97.15,pilot
1.91,91.09,teacher
1.99,78.48,data analyst
1.91,55.68,musician
1.79,64.27,chef
1.6,86.42,teacher
1.78,79.89,plumber
1.7,60.12,lawyer
1.52,83.14,nurse
1.87,71.83,data analyst
1.52,50.48,architect
1.93,66.48,economist
1.88,62.52,software developer
1.7,75.3,firefighter
1.83,73.51,chef
1.51,86.77,journalist
1.92,55.36,software developer
1.73,90.71,firefighter
1.82,88.58,salesperson
1.6,95.0,scientist
1.89,98.2,nurse
1.9,64.04,physicist
1.78,68.49,pilot
1.94,72.68,chef
1.97,96.43,mechanic
1.76,67.42,engineer
1.63,77.84,accountant
1.84,97.39,lawyer
1.64,86.19,economist
1.54,58.93,chemist
1.85,54.42,psychologist
1.53,62.04,graphic designer
1.78,59.24,software developer
1.69,80.19,mechanic
1.9,63.61,data analyst
1.54,82.5,teacher
1.77,62.7,software developer
1.77,83.0,pharmacist
1.8,54.22,artist
1.5,62.05,data analyst
1.79,83.24,salesperson
1.77,85.75,plumber
1.9,72.09,data analyst
1.84,77.34,graphic designer
1.91,70.29,police officer
1.89,65.92,doctor
1.8,67.97,marketing manager
1.53,58.3,nurse
1.87,78.9,biologist
1.54,75.05,graphic designer
1.91,67.96,firefighter
1.81,62.82,lawyer
1.89,75.54,psychologist
1.94,88.86,musician
1.68,79.27,musician
1.5,61.38,nurse
1.64,97.1,firefighter
1.96,74.98,data analyst
1.55,95.65,salesperson
1.78,64.39,mechanic
1.68,95.56,engineer
1.58,86.37,marketing manager
1.95,75.8,software developer
1.99,91.22,graphic designer
1.69,80.75,nurse
1.83,51.09,physicist
1.8,52.9,chef
1.76,96.53,plumber
1.51,50.59,salesperson
1.54,52.64,electrician
1.6,88.02,doctor
1.84,69.93,pilot
1.66,60.88,accountant
1.68,79.37,electrician
1.82,95.0,artist
1.96,84.0,software developer
1.66,99.63,doctor
1.51,64.51,doctor
1.74,90.66,accountant
1.86,61.87,accountant
1.57,57.01,journalist
1.58,63.93,biologist
1.51,58.91,chemist
1.94,76.3,journalist
1.73,97.17,musician
1.99,94.63,artist
1.71,50.3,pilot
1.6,88.09,plumber
1.52,55.09,scientist
1.51,77.84,police officer
1.83,56.31,lawyer
1.71,89.58,physicist
1.88,54.07,salesperson
1.51,69.48,journalist
1.92,84.52,dentist
1.78,99.92,pilot
1.85,67.08,police officer
1.68,74.56,firefighter
1.63,91.4,nurse
1.86,64.36,journalist
1.8,97.69,journalist
1.56,86.89,pharmacist
1.94,54.73,data analyst
1.66,89.96,artist
1.74,91.84,journalist
1.57,80.68,architect
1.78,86.98,economist
1.79,56.98,biologist
1.77,74.28,firefighter
1.59,92.84,graphic designer
1.98,94.85,artist
1.88,90.51,graphic designer
1.64,93.8,dentist
1.92,75.78,musician
1.78,83.92,chef
1.98,52.65,firefighter
1.62,73.88,journalist
1.91,89.77,pharmacist
1.69,62.17,pilot
1.83,84.96,artist
1.57,53.12,scientist
1.63,76.79,salesperson
1.66,73.44,chemist
1.56,53.05,accountant
1.69,94.4,data analyst
1.81,85.9,nurse
1.74,82.52,musician
1.82,64.33,journalist
1.87,98.64,plumber
1.96,79.49,architect
1.69,51.52,software developer
1.83,90.98,biologist
1.51,71.91,dentist
1.88,59.96,marketing manager
1.85,66.76,architect
1.77,61.05,graphic designer
1.78,71.72,pharmacist
1.6,89.67,pilot
1.67,50.83,firefighter
1.73,73.17,lawyer
1.75,59.95,teacher
1.53,52.75,chef
1.57,64.61,graphic designer
1.69,93.83,pharmacist
1.65,61.42,data analyst
1.62,85.77,marketing manager
1.71,64.95,dentist
1.61,87.44,police officer
1.63,73.34,salesperson
1.7,61.96,salesperson
1.75,87.38,electrician
1.71,79.52,biologist
1.96,57.1,economist
1.65,96.0,scientist
2.0,63.99,engineer
1.59,85.3,psychologist
1.62,90.01,firefighter
1.83,62.82,musician
1.57,73.71,firefighter
1.96,55.96,accountant
1.54,93.32,graphic designer
1.85,60.15,dentist
1.96,69.17,nurse
1.84,84.74,software developer
1.66,73.74,mechanic
1.77,83.5,architect
1.5,76.97,engineer
1.7,77.68,electrician
1.58,97.56,dentist
1.51,89.96,physicist
1.71,56.25,physicist
1.61,86.83,dentist
1.92,70.72,biologist
1.99,66.28,chef
1.68,85.24,physicist
1.91,95.64,dentist
1.58,70.07,architect
1.76,95.52,journalist
1.78,98.02,pilot
1.51,75.25,engineer
1.61,54.46,chemist
1.77,98.58,psychologist
1.57,76.43,accountant
1.66,68.92,salesperson
1.97,76.95,pharmacist
1.5,71.19,pilot
1.54,99.89,musician
1.81,75.32,pharmacist
1.9,97.73,electrician
1.58,57.91,biologist
1.56,51.57,electrician
1.68,78.59,doctor
1.56,66.65,biologist
1.57,65.56,chemist
1.98,69.39,electrician
1.9,97.17,dentist
1.54,75.46,marketing manager
1.72,53.61,biologist
1.81,70.2,architect
1.83,80.09,architect
1.68,50.26,dentist
1.97,55.51,musician
1.73,86.29,accountant
1.97,89.6,accountant
1.84,66.76,musician
1.56,90.77,musician
1.98,92.06,salesperson
1.91,96.78,biologist
1.94,87.45,chemist
1.92,72.01,electrician
1.86,77.89,chef
1.73,73.18,dentist
1.7,67.0,musician
1.58,61.95,engineer
1.54,50.15,engineer
1.96,58.27,data analyst
1.79,53.77,pilot
1.93,67.88,firefighter
1.87,98.24,marketing manager
1.82,79.2,police officer
1.84,52.62,police officer
1.53,72.59,doctor
1.96,84.92,electrician
1.66,61.23,accountant
1.98,62.53,police officer
1.65,64.37,mechanic
1.51,83.37,pilot
1.65,57.63,mechanic
1.77,59.39,musician
1.68,80.39,chef
1.76,99.21,software developer
1.74,64.51,marketing manager
1.89,69.7,teacher
1.83,60.53,pilot
1.98,64.5,pharmacist
1.71,67.15,doctor
1.98,60.38,journalist
1.87,66.42,chemist
1.55,59.14,graphic designer
1.83,76.27,salesperson
1.54,66.42,plumber
1.51,61.43,architect
1.52,94.9,teacher
1.59,62.93,musician
1.8,80.01,chemist
1.5,54.91,economist
1.55,51.61,accountant
1.95,50.22,lawyer
1.92,92.94,lawyer
1.5,70.8,dentist
1.6,95.43,nurse
1.53,58.14,physicist
1.91,83.17,economist
1.93,68.33,teacher
1.57,62.71,marketing manager
1.76,80.31,doctor
1.82,96.19,teacher
1.66,60.79,graphic designer
1.77,60.41,software developer
1.88,69.73,pilot
1.57,89.04,police officer
1.79,75.8,journalist
1.66,90.06,lawyer
1.61,94.41,lawyer
1.76,78.5,plumber
1.88,82.63,chef
1.53,91.74,chemist
1.6,71.74,doctor
1.75,65.37,lawyer
1.72,86.93,biologist
1.66,66.69,dentist
1.88,65.13,pharmacist
1.93,68.1,plumber
1.74,77.02,software developer
1.59,81.29,lawyer
1.93,55.11,lawyer
1.82,66.81,economist
1.58,55.47,physicist
1.6,76.33,architect
1.55,52.94,salesperson
1.56,67.61,psychologist
1.69,60.77,marketing manager
1.92,75.38,salesperson
1.62,61.22,dentist
1.8,79.12,journalist
1.95,97.45,biologist
1.86,85.14,pharmacist
1.54,95.33,teacher
1.58,94.5,lawyer
1.97,98.29,lawyer
1.51,78.43,chef
1.99,53.16,salesperson
1.86,69.26,economist
1.6,59.07,salesperson
1.97,68.72,physicist
1.86,83.45,software developer
1.72,67.56,accountant
1.66,97.24,software developer
1.83,50.42,dentist
1.75,87.96,physicist
1.98,85.96,nurse
1.65,70.53,nurse
1.75,94.33,physicist
1.65,87.91,biologist
1.93,62.02,nurse
1.9,68.01,software developer
1.82,59.08,nurse
1.76,85.27,architect
1.73,86.67,plumber
1.83,96.79,musician
1.98,82.19,economist
1.8,86.59,economist
1.55,84.13,lawyer
1.67,88.72,doctor
1.7,78.19,electrician
1.65,53.21,dentist
1.75,51.57,electrician
1.97,58.89,nurse
1.79,94.1,pilot
1.69,50.27,chef
1.62,52.87,journalist
1.67,75.16,musician
1.99,74.53,chemist
1.57,85.92,scientist
1.76,77.83,pharmacist
1.9,70.64,pharmacist
1.92,79.46,accountant
1.94,66.76,chemist
1.87,78.37,chef
1.54,84.34,pilot
1.75,98.57,chemist
1.85,60.31,police officer
1.53,91.77,artist
1.95,61.89,architect
1.9,68.26,musician
1.84,75.89,biologist
1.83,78.25,police officer
1.71,89.33,firefighter
1.68,97.1,chemist
1.51,86.09,police officer
1.64,86.25,software developer
1.76,65.07,teacher
1.61,64.52,accountant
1.58,89.76,electrician
1.78,65.86,physicist
1.62,70.06,teacher
1.58,54.32,doctor
1.91,78.02,graphic designer
1.97,76.24,salesperson
1.87,88.75,data analyst
1.94,50.81,marketing manager
1.51,95.81,software developer
1.78,90.72,scientist
1.76,86.51,marketing manager
1.64,76.27,dentist
1.95,76.52,mechanic
1.68,73.52,journalist
1.74,61.86,marketing manager
1.5,63.48,psychologist
1.68,97.23,doctor
1.65,57.18,biologist
1.73,54.16,physicist
1.85,78.96,lawyer
1.88,57.55,dentist
1.56,87.06,salesperson
1.53,53.57,plumber
2.0,73.59,pilot
1.89,96.33,architect
1.83,94.29,mechanic
1.77,82.16,teacher
1.68,91.59,chef
1.56,60.76,data analyst
1.72,52.56,nurse
1.85,78.58,mechanic
1.52,71.09,data analyst
1.91,55.39,pilot
1.89,68.91,physicist
1.68,95.45,pharmacist
1.74,60.17,marketing manager
1.99,93.25,nurse
1.85,79.81,nurse
1.98,64.34,pilot
1.79,60.71,electrician
1.53,57.75,nurse
1.84,83.58,software developer
1.6,98.63,lawyer
1.63,77.26,pilot
1.8,76.39,biologist
1.53,53.95,accountant
1.69,53.82,doctor
1.7,53.42,musician
1.71,71.97,journalist
1.94,64.28,chemist
1.57,51.72,economist
1.95,96.7,plumber
1.8,52.43,engineer
1.84,88.99,musician
1.52,80.66,lawyer
1.91,68.02,data analyst
1.93,68.35,teacher
1.66,82.2,engineer
1.98,94.1,lawyer
1.68,99.65,musician
1.8,70.38,electrician
1.87,58.87,doctor
1.63,82.82,nurse
1.86,61.47,architect
1.91,62.6,marketing manager
1.94,50.83,doctor
1.87,66.0,plumber
1.7,67.38,musician
1.75,63.43,nurse
1.88,93.78,artist
1.76,90.13,software developer
1.96,94.15,lawyer
1.8,63.24,nurse
1.77,62.55,physicist
1.97,94.42,salesperson
1.9,61.11,graphic designer
1.54,59.49,firefighter
1.73,79.87,doctor
1.67,78.93,chemist
1.69,88.01,nurse
1.5,84.99,teacher
1.63,65.09,dentist
1.63,53.45,scientist
1.71,94.2,teacher
1.78,62.86,musician
1.96,51.2,physicist
1.76,88.28,psychologist
1.8,66.8,graphic designer
1.62,88.11,journalist
1.62,90.27,biologist
1.76,63.46,pilot
1.92,86.64,chemist
1.85,89.89,biologist
1.56,78.09,salesperson
1.65,91.95,police officer
1.69,50.95,marketing manager
1.53,99.69,graphic designer
1.52,90.67,engineer
1.59,62.42,police officer
1.64,75.51,architect
1.7,89.96,chef
1.9,90.93,psychologist
1.62,59.51,chemist
1.73,91.45,nurse
1.79,56.34,data analyst
1.51,93.95,architect
1.56,74.11,musician
1.63,65.49,plumber
1.63,86.32,lawyer
1.72,52.98,nurse
1.87,67.4,pilot
1.87,96.62,teacher
1.74,99.52,dentist
1.87,87.49,scientist
1.65,59.58,doctor
1.72,95.29,biologist
1.74,59.66,scientist
1.75,54.87,chef
1.52,78.42,marketing manager
1.81,90.06,marketing manager
1.59,96.74,psychologist
1.9,80.6,firefighter
1.73,77.42,doctor
1.78,68.58,mechanic
1.75,89.86,accountant
1.76,50.78,physicist
1.99,56.61,police officer
1.87,71.98,police officer
1.52,68.21,plumber
1.85,62.92,marketing manager
1.83,66.02,physicist
1.96,55.97,nurse
1.58,83.04,graphic designer
1.87,59.26,lawyer
2.0,80.04,lawyer
1.61,76.49,accountant
1.8,53.12,accountant
1.81,69.45,accountant
1.63,55.15,engineer
1.65,58.47,architect
1.81,69.09,graphic designer
1.97,82.25,scientist
1.58,70.49,architect
1.53,95.73,pharmacist
1.52,80.76,marketing manager
1.52,60.63,physicist
1.71,62.88,chef
1.95,53.7,teacher
1.69,95.7,electrician
1.8,65.62,musician
1.7,92.88,data analyst
1.91,81.34,physicist
1.5,84.31,police officer
1.88,51.22,physicist
1.57,89.03,salesperson
1.54,94.07,dentist
1.92,88.38,scientist
1.6,65.44,scientist
1.52,63.55,scientist
1.75,95.24,musician
1.86,65.98,electrician
1.81,95.83,plumber
1.57,90.42,pilot
1.74,69.61,accountant
1.55,79.0,dentist
1.98,58.76,plumber
1.69,82.51,plumber
1.69,53.57,doctor
1.97,59.74,dentist
1.57,91.8,psychologist
1.9,53.68,musician
1.54,81.3,dentist
1.83,91.52,teacher
1.57,60.8,chemist
1.8,95.46,firefighter
1.61,53.12,scientist
1.93,58.11,doctor
1.56,97.02,salesperson
1.57,93.96,dentist
1.93,74.36,chemist
1.8,64.72,journalist
1.65,92.42,data analyst
1.76,81.82,teacher
1.51,69.07,software developer
1.95,88.76,chef
1.53,79.96,architect
1.77,87.58,musician
1.6,81.34,nurse
1.98,68.18,artist
1.77,66.98,scientist
1.64,50.54,doctor
1.66,65.25,software developer
1.55,51.53,scientist
1.71,75.2,engineer
1.7,97.11,physicist
2.0,98.47,scientist
1.97,99.66,engineer
1.67,87.72,chemist
1.6,82.37,software developer
1.57,51.11,architect
1.96,73.48,doctor
1.53,79.66,artist
1.9,68.27,scientist
1.85,96.53,marketing manager
1.76,52.91,salesperson
1.99,67.25,firefighter
1.74,64.15,economist
1.68,99.47,economist
1.62,96.75,police officer
1.56,79.34,plumber
1.91,69.23,lawyer
1.91,50.84,mechanic
1.89,68.91,dentist
1.96,57.05,mechanic
1.56,64.93,graphic designer
1.5,80.64,architect
1.52,79.73,lawyer
1.59,95.65,graphic designer
1.85,83.88,scientist
1.81,56.23,pharmacist
1.97,78.92,accountant
1.75,60.02,accountant
1.59,65.94,physicist
1.72,70.31,physicist
1.9,59.98,doctor
1.64,83.83,chef
1.61,74.43,physicist
1.59,90.21,nurse
1.68,56.23,plumber
1.79,50.91,doctor
1.61,96.76,police officer
2.0,93.74,psychologist
1.69,82.47,nurse
1.83,81.48,lawyer
1.7,52.08,artist
1.88,61.98,engineer
1.88,79.06,data analyst
1.61,62.24,scientist
1.72,91.41,chef
1.99,68.83,plumber
1.56,88.4,data analyst
1.78,89.99,chemist
1.81,94.19,chef
1.97,99.21,biologist
1.65,96.76,accountant
1.67,81.65,teacher
1.89,69.03,journalist
1.72,92.76,lawyer
1.97,89.39,dentist
1.78,92.64,biologist
1.54,74.85,biologist
1.83,68.82,artist
1.64,52.83,accountant
1.54,99.82,pharmacist
1.55,50.93,journalist
1.62,75.5,firefighter
1.89,69.03,engineer
1.52,93.98,graphic designer
1.86,53.76,mechanic
1.88,64.33,pilot
1.9,75.39,chef
1.58,53.44,pilot
1.61,97.48,artist
1.59,94.3,salesperson
1.78,56.23,scientist
1.66,56.97,accountant
1.63,58.25,firefighter
1.91,69.89,graphic designer
1.98,53.14,software developer
1.53,87.78,pharmacist
1.5,86.0,nurse
1.96,77.67,mechanic
1.65,55.95,plumber
1.83,67.27,teacher
1.58,95.56,police officer
1.62,75.73,electrician
1.56,64.9,electrician
1.55,55.17,engineer
1.53,63.29,firefighter
1.68,66.8,physicist
1.55,95.51,physicist
1.92,91.29,chef
1.98,74.81,teacher
1.83,76.21,artist
1.64,93.83,plumber
1.89,95.73,data analyst
1.55,73.87,data analyst
1.57,66.91,architect
1.52,82.63,chef
1.92,53.06,scientist
1.51,95.0,journalist
1.54,97.88,data analyst
1.55,82.81,lawyer
1.52,65.62,electrician
1.94,83.54,artist
1.8,99.93,engineer
1.91,53.62,architect
1.71,73.58,scientist
1.79,67.65,graphic designer
1.89,87.44,marketing manager
1.58,94.16,dentist
1.8,82.93,marketing manager
1.74,68.91,graphic designer
1.59,76.64,chef
1.81,98.89,salesperson
1.95,74.23,accountant
1.67,87.16,graphic designer
1.83,60.53,police officer
1.73,95.23,accountant
1.71,56.85,musician
1.91,61.93,nurse
1.57,77.63,plumber
1.9,98.03,salesperson
1.84,76.45,mechanic
1.56,67.53,dentist
1.99,69.84,physicist
1.7,90.27,scientist
1.5,84.04,software developer
1.65,88.31,doctor
1.83,76.65,accountant
1.76,65.59,chemist
1.78,92.23,electrician
1.53,78.06,economist
1.98,98.27,nurse
1.93,54.78,nurse
1.91,69.61,economist
1.84,59.18,physicist
1.96,91.8,software developer
1.82,69.1,firefighter
1.96,89.64,biologist
1.6,75.89,architect
1.98,99.29,plumber
1.86,76.09,psychologist
1.76,69.57,pilot
1.98,89.77,accountant
1.96,60.36,physicist
1.58,76.58,journalist
1.77,62.67,musician
1.55,53.11,marketing manager
1.96,83.59,pilot
1.56,71.54,economist
1.71,92.8,biologist
1.88,84.01,pilot
1.55,84.78,musician
1.55,97.61,marketing manager
1.54,75.11,teacher
1.72,72.94,electrician
1.79,52.57,architect
1.88,73.39,nurse
1.72,99.38,physicist
1.51,96.74,data analyst
1.73,83.05,pharmacist
1.87,97.46,data analyst
1.81,60.64,graphic designer
1.72,59.63,chemist
1.52,81.7,teacher
1.96,94.83,chef
1.64,96.37,physicist
1.71,91.44,artist
1.62,65.51,scientist
1.79,74.29,physicist
1.66,82.84,psychologist
1.85,50.31,chef
1.81,55.33,plumber
1.57,60.47,mechanic
1.55,77.59,musician
1.64,70.86,architect
1.87,99.74,plumber
1.51,70.73,plumber
1.76,75.8,musician
1.98,58.83,economist
1.68,68.71,teacher
1.9,54.82,psychologist
1.75,88.9,journalist
1.71,90.24,doctor
1.61,73.43,chef
1.84,68.12,doctor
1.82,70.5,dentist
1.67,51.1,musician
1.91,53.18,mechanic
1.59,59.16,musician
1.55,52.86,accountant
1.58,84.19,chef
1.84,55.55,lawyer
1.56,67.84,chemist
1.87,69.88,software developer
1.76,97.34,salesperson
1.57,64.26,psychologist
